Elapsed time,로그인,메뉴레프트,메뉴이동,메뉴인덱스,메뉴헤더,메인페이지,상세조회,초기화면,컨텐츠
29:01.0,,763,1003,,1517,1075,1070.5,1405,
29:01.5,,,1483,,,,1328.5,818.5,1404
29:02.0,,1135,967,1040,1633,1470,1557.333333,1394,1538.666667
29:02.5,2149,930.5,563,1350.5,,,1190,962.2,1014.5
29:03.0,1990.5,,992.5,1276,643,,1081,815,560
29:03.5,1347,542,712,,1101,774.5,774,,955
29:04.0,1496,1105,,472,,1078.666667,1345,900,
29:04.5,1832.25,780,,654,1349,1006,1260,1539,751
29:05.0,1726,,1584,1310.666667,936,534,1367,1313.5,1021.5
29:05.5,1733,922,885,1085,901,1125.5,,966,
29:06.0,2047,840,1095,,1120,1230.5,,1246,
29:06.5,1606,910.5,1511,1358,1419.5,1443,1252,,810
29:07.0,1856,554.5,,1232.666667,1225,1002,1074,637,986
29:07.5,1918,1070,1309,1079,1315,971,1232,742,862.5
29:08.0,2324.5,990,843.5,953,1167,1322,,625,949
29:08.5,,862,1044,842,1005.5,783,512,1339,1185
29:09.0,2011,492,938,,979,,1351,613,1249
29:09.5,1694,1404,843.6666667,1212,,996.5,1137,,966.5
29:10.0,1219,1311,,1556,,604,1070,,857.5
29:10.5,,,937.5,897.5,1107,788,884,1041,
29:11.0,,,1105,728,804,646,,1280.666667,1043
29:11.5,2003.5,586,377,851,884.3333333,,1323,666,
29:12.0,,807,813,,361.5,543,866.5,630.6666667,786
29:12.5,1443,723.5,,859,,987,751.5,445.5,465
29:13.0,1419.5,1140,589.3333333,,,413,,492,789.6666667
29:13.5,1504,,,587,824,936,456.5,,706.5
29:14.0,1571.5,659,853,616,,578,701,,
29:14.5,1671,,897,738,611.75,454,596,841.6666667,
29:15.0,,547.6666667,322,786.5,1057,596,633,562,759
29:15.5,,902.5,,798,496,,361,737.5,767
29:16.0,1262,,,760,607.6666667,,,1257,621
29:16.5,1736.5,971.3333333,500,,1131,,,710,1444
29:17.0,1503.333333,950.6666667,890.5,,,686.5,742,,551.5
29:17.5,1175,1232,339.5,844,,824.75,613,,652
29:18.0,,,756.5,671.25,,700,586.5,643.5,609.5
29:18.5,,,902,795.5,463,,776,1009,
29:19.0,,634.3333333,1251,1457,795,,431,873,
29:19.5,1762,418,1306,,1107,,1335,1258,532
29:20.0,1250,1116,366,,1234.5,397,997,593,624.6666667
29:20.5,1755.666667,867.5,427.5,461.5,,,628,1504,1441
29:21.0,1737,1203,199,,533,752,566,,
29:21.5,,,,730,,998.6666667,651,1413,
29:22.0,2783,663,,502.6666667,1430,652,,1211.666667,1311
29:22.5,2289.5,,451,861,686.3333333,,1621,,755
29:23.0,1340.25,614.5,851.5,,697,520.5,359,927.5,
29:23.5,,795,807,533,,752.25,924,,
29:24.0,1691,878,,808.6666667,,1196,786,476,838.75
29:24.5,1797,,486.6666667,732,648,220,,811,874.5
29:25.0,,570,884,724,659.3333333,,539.5,1416,
29:25.5,1565,607.25,987,450,415,1124,,454,759
29:26.0,1173.333333,1109,1334,,1305,1157,1399,,492.6666667
29:26.5,1120.5,465,536,949,999,528,1031,374,519
29:27.0,,,706.5,356,,1313,709,480,1095
29:27.5,,,1232.333333,433,427,1254.5,698.5,760.5,1510
29:28.0,,954,,426,1062,1411,625,838,
29:28.5,1780.666667,815.5,1122.5,958,475,,985,919,798
29:29.0,1260,,,,,406,562,1087,964
29:29.5,1331.666667,919,742,836,403.3333333,792,688,704,968
29:30.0,,,,,,1175,,1222,
29:30.5,,,838.5,1340.5,377,1078,945,1327,1032
29:31.0,1576,1406.666667,359,463.6666667,337,1577,857,359,
29:31.5,1669.5,558,893,,795,417,1133.5,,601.5
29:32.0,1447,806.5,,777,762.3333333,838.6666667,510,751.3333333,775
29:32.5,1772,478.5,878.3333333,689,,,,,
29:33.0,1021,772,554,797.5,965,835,,1144.5,695
29:33.5,1367.5,,,446,749,833,758.5,,396
29:34.0,842,777.5,800,,,471,1033,457,1361
29:34.5,1796,,1143,796,1431,1064,603.5,1118,506.5
29:35.0,1287,1098.5,394,932,1392,,824,1254,
29:35.5,,725,,1028,715,,,1162,627.5
29:36.0,1371,,1255,1407,1318,1180,834.5,1148.5,429
29:36.5,1577.5,560.75,776.6666667,538,925,,1469,,
29:37.0,1378.666667,,,780,322,,567.5,769,345
29:37.5,,827,,,877,820,1092,,1129
29:38.0,,,,,,1047.5,,1483,
29:38.5,1632.5,1326,1457.666667,1256,,1591.5,,1344.333333,1460.5
29:39.0,2273,,583,825.25,263,1711,283,,
29:39.5,2488,531,983,519,557,452,767.6666667,452,929.5
29:40.0,1318.5,433,684,910,945.5,813,554,355,299
29:40.5,1239.5,766,702,983.5,,,,964,681.5
29:41.0,1097,1043,483,,933.6666667,990,,,1149
29:41.5,,,331,1253,,970,1301,,
29:42.0,,1161,,893.5,357,1290,1019.5,1682,1265
29:42.5,,,1650,902.5,1007,,1299,946.5,
29:43.0,2754.5,1101.25,844,1170,968,,,1057.5,818
29:43.5,1315,,354,,1119,355,758.5,799,474.5
29:44.0,,504.5,540,,1109,1175.5,794,723,1318
29:44.5,1656.5,1375,,807,,1150,941,1152,1112
29:45.0,1577.5,802,703,843,338,741,,469.5,814
29:45.5,1602,514,717.5,564,,690.5,984,630,
29:46.0,,,1152,997,662.5,613.5,467.3333333,331,1003
29:46.5,1591,475.5,264,463.75,625,715,218,,1018
29:47.0,1489.5,660,638,293,410,433,815,898.5,608.5
29:47.5,,1152,,302,1053,801,417,1196,718
29:48.0,1941,792.6666667,824,244,1003,947,,872,435
29:48.5,1849,,568.5,829,771,,544,1228,405
29:49.0,1513,1472.5,,864,1087,569,776.6666667,500,916.5
29:49.5,2148,945,807.5,456,937,525,1254,455,
29:50.0,963,789,512,788,1196,729,397.5,539.5,934
29:50.5,1236,967,304,605,842.5,479,1243,,708
29:51.0,848,860,,1158,,1014,691,881,
29:51.5,1542,1096,1194,724,765,791,1076,,677.5
29:52.0,765,395,701,765.75,722,1170,638,1018,783.5
29:52.5,1153,877,343,656,470,856,,351.5,777
29:53.0,1376,802.5,1216,530,979,643,,79809,
29:53.5,1306,916,1309,,1306,449,1041,,712.2
29:54.0,1552,424,696.6666667,1058,1079,995.5,351,572,
29:54.5,1814,,872.6666667,774.5,458,,,617.5,860
29:55.0,807,969.5,,1308,336,875,957,1044,1084
29:55.5,,854,944,,1184,1062,997,,
29:56.0,1496.333333,793,593.5,1047,,1353,,754.6666667,972.5
29:56.5,2153,706,,653.3333333,1471,,716,610,
29:57.0,1254,,940,,688,1109,686,,1279
29:57.5,1262,477,324,614,1033,372,253,1864,675.5
29:58.0,1631,,,633.5,290,261,323,980,321.5
29:58.5,,733,568,,564,1213,,694.3333333,1143
29:59.0,1530,539,933,857,931,1063,226,,393
29:59.5,1455,159.5,858,846,217,,423.5,280,398.5
30:00.0,1549,1056,604,,,642.5,,773,493
30:00.5,1346,,508.5,830,,,873,762,719
30:01.0,,,,,,,598.5,99,
30:01.5,1136,,872,,732,823,,660,
30:02.0,661,282,,297,176,319,320,98,
30:02.5,778.5,95,135,159,255.6666667,151,165,,267
,,,,,,,,,
,,,,,,,,,
평균,1442.793785,732.3993137,735.3060078,779.6224074,768.0239048,807.4114754,769.9889847,1212.473901,746.8149524
최소,359,66,68,60,56,55,65,71,49
최대,2783,1551,1918.5,1782,1681,2197,2378,79809,1638
표준편차,511.9333927,353.9679338,389.2784434,388.1460909,409.2886391,411.8406183,405.3411491,5872.304789,375.40328
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
